,id,form,total_points,points_per_game,event_points,goals_scored,assists,clean_sheets,bonus,bps,influence,creativity,threat,ict_index
304,310,1.8,19,2.7,0,0,0,2,4,119,126.0,5.1,20.0,15.2
305,280,1.2,19,3.2,6,0,0,2,2,94,81.8,34.5,43.0,15.9
306,163,1.3,19,1.7,0,0,0,2,0,97,89.8,45.7,2.0,13.8
307,567,2.4,19,2.1,3,0,1,3,0,99,112.2,72.6,31.0,21.6
308,439,0.8,19,1.7,0,1,1,0,0,68,79.0,69.5,89.0,23.6
309,290,0.0,19,3.2,0,0,3,1,0,76,66.2,121.9,67.0,25.5
310,347,0.4,18,1.2,0,0,0,0,0,177,224.2,101.1,99.0,42.5
311,530,0.0,18,1.6,0,0,0,2,0,113,114.8,12.7,61.0,18.8
312,510,2.0,17,2.8,2,1,0,1,0,66,98.8,44.8,127.0,27.1
313,495,0.2,17,1.5,0,1,0,0,0,67,75.6,40.1,59.0,17.5
314,258,0.2,17,1.9,0,1,0,1,0,61,59.4,14.6,118.0,19.1
315,543,0.6,17,2.8,2,1,0,1,3,45,55.2,73.1,63.0,19.1
316,247,2.2,17,2.4,7,0,2,2,1,74,68.0,144.8,73.0,28.6
317,493,0.8,17,1.3,2,0,0,0,0,84,84.4,70.8,23.0,17.9
318,555,0.0,17,1.5,0,0,0,1,0,97,74.4,103.6,50.0,22.8
319,193,0.5,17,1.9,0,0,2,0,0,66,67.6,78.0,78.0,22.4
320,104,2.8,16,4.0,14,1,0,1,2,67,78.0,50.1,68.0,19.6
321,436,1.8,16,1.2,1,0,1,1,0,48,50.0,77.1,106.0,23.2
322,328,0.3,16,1.3,0,0,0,1,0,120,181.6,23.9,91.0,29.8
323,505,0.0,16,1.6,0,0,0,1,0,97,93.4,40.5,11.0,14.7
324,250,0.0,15,3.0,0,1,0,1,1,73,82.4,4.8,66.0,15.3
325,90,1.2,15,1.7,1,0,0,2,0,45,35.0,37.5,53.0,12.6
326,129,2.6,15,3.0,0,0,0,2,2,75,65.2,0.8,10.0,7.6
327,565,1.8,15,1.4,1,0,0,2,0,57,51.8,49.1,22.0,12.3
328,541,0.4,15,1.9,1,0,2,0,0,59,70.8,81.9,88.0,24.1
329,515,0.8,15,1.4,1,0,1,0,0,56,35.0,46.5,25.0,10.7
330,10,1.2,14,4.7,0,0,0,2,1,63,59.0,11.7,4.0,7.4
331,517,2.4,14,2.0,1,0,1,1,0,99,134.6,156.8,36.0,32.7
332,79,0.0,14,1.8,0,0,0,2,0,74,61.0,105.0,29.0,19.6
333,584,1.0,14,2.0,2,0,0,1,0,82,72.0,2.5,2.0,7.7
334,71,0.0,13,1.2,0,0,1,0,0,62,51.4,94.5,143.0,28.8
335,131,0.8,13,1.6,1,0,0,1,0,69,67.8,32.8,8.0,10.8
336,93,0.8,13,1.1,1,0,0,0,0,31,12.8,30.7,122.0,16.1
337,531,1.8,13,1.6,2,0,0,1,0,90,106.8,166.3,79.0,35.3
338,335,0.5,13,2.2,0,0,0,1,0,68,58.6,41.8,20.0,12.0
339,329,0.3,13,2.2,0,1,0,0,3,42,37.4,16.9,64.0,11.4
340,425,0.4,13,0.8,1,0,0,0,0,157,294.8,51.2,36.0,38.4
341,154,0.0,13,2.2,0,1,0,1,1,44,78.0,88.4,61.0,22.8
342,352,0.0,13,1.6,0,0,1,0,0,70,87.8,11.6,35.0,13.4
343,438,0.5,13,1.9,1,0,1,1,0,74,84.8,122.5,63.0,27.2
344,261,0.0,12,1.7,0,0,0,2,0,60,44.2,54.5,111.0,21.0
345,322,0.5,12,1.5,0,0,0,1,0,66,76.6,204.0,38.0,31.9
346,387,0.6,12,1.3,1,0,1,0,0,38,30.6,37.7,112.0,17.7
347,29,0.0,12,2.4,0,0,0,1,2,43,27.2,73.0,21.0,12.2
348,361,0.2,12,1.1,0,0,0,1,0,21,9.8,6.4,19.0,3.4
349,182,0.4,12,1.1,0,0,1,0,0,85,72.4,55.9,47.0,17.5
350,427,0.8,12,1.1,1,0,0,0,0,44,19.8,35.8,6.0,6.1
351,311,0.0,11,1.8,0,1,0,0,0,43,58.6,56.0,147.0,26.2
352,85,0.0,11,1.8,0,0,0,1,1,76,94.2,11.5,16.0,12.2
353,603,1.6,11,2.8,0,1,0,0,0,44,66.0,16.8,37.0,12.0
354,589,0.4,11,2.2,2,0,0,1,0,67,86.8,15.6,6.0,10.9
355,238,0.6,11,1.4,0,0,0,1,0,86,104.0,35.6,50.0,18.9
356,210,0.2,11,1.2,0,0,0,1,0,45,46.6,39.0,16.0,10.0
357,397,1.0,11,1.2,0,0,0,1,0,72,79.2,50.3,16.0,14.4
358,487,0.7,10,2.0,0,0,0,1,0,47,32.6,35.6,2.0,7.0
359,398,0.8,10,1.2,1,0,0,0,0,72,117.0,4.5,88.0,21.0
360,452,0.0,10,2.5,0,1,0,0,0,32,44.6,3.8,17.0,6.5
361,233,0.4,10,1.0,0,0,0,1,0,19,16.8,54.4,157.0,22.8
362,209,0.5,10,1.0,0,0,0,0,0,29,42.6,47.5,87.0,17.7
363,206,0.5,10,1.0,0,0,0,0,0,33,33.0,47.1,66.0,14.7
364,260,0.0,10,1.4,0,0,0,0,0,94,106.8,18.1,0.0,12.5
365,554,0.5,9,1.3,0,0,0,1,0,20,8.6,13.8,31.0,5.2
366,44,1.0,9,1.5,1,0,0,2,0,33,23.2,16.8,8.0,4.9
367,26,0.4,9,1.8,1,0,0,2,0,18,18.4,17.8,76.0,11.1
368,535,0.0,9,1.8,0,0,0,1,0,24,12.0,7.9,13.0,3.3
369,590,0.8,8,1.0,0,0,0,0,0,19,3.0,12.2,14.0,2.9
370,428,1.0,8,1.3,2,0,0,0,0,38,26.2,19.5,26.0,7.1
371,248,0.6,8,1.6,1,0,1,0,0,25,26.6,28.3,20.0,7.5
372,256,1.0,8,1.1,2,0,0,1,0,18,10.8,22.4,58.0,9.1
373,264,0.0,8,2.0,0,0,0,1,0,32,21.2,18.5,20.0,5.8
374,519,0.0,8,4.0,0,1,0,0,0,35,66.2,21.2,38.0,12.6
375,359,0.4,8,1.3,0,0,0,0,0,9,10.8,34.3,45.0,8.9
376,190,0.6,8,0.7,0,0,0,0,0,14,22.6,76.8,39.0,13.2
377,410,1.4,8,2.7,0,0,1,0,0,29,22.4,35.2,15.0,7.2
378,511,0.0,7,1.2,0,0,0,0,0,29,70.6,10.5,33.0,11.4
379,59,1.0,7,1.4,0,0,0,0,0,28,18.4,4.7,52.0,7.6
380,125,0.2,7,1.0,0,0,0,0,0,89,126.6,35.7,36.0,19.9
381,111,0.0,7,3.5,0,0,0,1,0,24,17.4,7.7,2.0,2.7
382,545,0.6,7,1.2,2,0,0,0,0,36,41.0,38.2,8.0,8.8
383,573,0.0,7,3.5,0,0,0,1,0,36,35.8,0.0,0.0,3.6
384,333,0.2,7,1.4,0,0,1,0,0,58,72.0,30.7,6.0,10.8
385,20,0.4,7,1.0,0,0,0,0,0,18,21.2,29.7,52.0,10.1
386,55,0.0,7,1.4,0,0,0,0,0,31,28.8,7.9,41.0,7.8
387,176,0.0,7,1.4,0,0,0,0,0,78,82.6,4.7,0.0,8.8
388,560,0.0,7,7.0,0,0,0,1,0,26,28.2,0.0,0.0,2.8
389,408,0.4,7,0.9,0,0,0,0,0,0,11.4,11.9,25.0,4.8
390,180,0.0,6,1.2,0,0,0,0,0,13,1.4,14.6,47.0,5.9
391,268,0.2,6,1.2,0,0,0,1,0,20,7.2,36.9,65.0,10.4
392,581,0.2,6,1.5,0,0,1,0,0,26,37.2,24.0,12.0,7.3
393,149,0.0,6,1.2,0,0,0,0,0,38,26.2,18.6,1.0,4.6
394,523,1.5,6,6.0,0,0,0,1,0,24,12.2,0.0,0.0,1.2
395,112,0.0,6,2.0,0,0,0,0,0,40,50.8,0.0,0.0,5.0
396,430,0.0,6,6.0,0,0,0,1,0,23,13.6,0.0,0.0,1.4
397,414,0.0,6,6.0,0,0,0,1,0,24,19.6,0.3,0.0,2.0
398,379,0.5,5,1.7,0,0,0,0,0,17,16.8,7.4,9.0,3.3
399,75,0.4,5,1.7,0,0,0,0,0,30,27.2,32.4,69.0,12.8
400,50,0.2,5,1.0,0,0,0,0,0,15,4.6,15.9,58.0,7.7
401,524,0.2,5,1.0,0,0,0,0,0,8,3.0,2.8,4.0,0.7
402,421,0.0,5,1.0,0,0,0,0,0,15,13.0,12.8,39.0,6.4
403,415,0.2,5,1.0,0,0,0,0,0,10,20.0,3.9,26.0,5.0
404,564,0.8,5,1.0,1,0,0,0,0,15,16.2,22.0,79.0,11.7
405,407,0.6,5,0.5,1,0,0,0,0,107,132.0,65.1,10.0,20.8
406,188,0.4,5,1.2,0,0,0,0,0,12,13.2,7.5,2.0,2.2
407,160,0.0,5,1.2,0,0,0,0,0,19,11.0,8.1,8.0,2.8
408,305,0.0,5,1.7,0,0,0,0,0,38,65.2,0.0,0.0,6.5
409,394,0.0,4,1.0,0,0,0,0,0,13,11.4,14.0,27.0,5.2
410,127,0.0,4,1.0,0,0,0,0,0,33,36.6,1.6,6.0,4.5
411,648,4.0,4,4.0,4,0,1,0,0,17,21.2,24.3,0.0,4.6
412,331,0.3,4,2.0,0,0,0,0,0,15,13.6,2.1,0.0,1.6
413,240,0.0,4,1.0,0,0,0,0,0,24,35.8,18.5,13.0,6.6
414,153,0.0,4,0.8,0,0,0,0,0,12,2.2,11.6,4.0,1.8
415,451,0.0,4,1.0,0,0,0,0,0,40,64.6,1.9,0.0,6.7
416,423,0.0,3,1.0,0,0,0,0,0,16,20.0,0.5,0.0,2.0
